Code Depart;Depart libelleLocalite;Depart libelleGM;Depart ville;Code Arrivee;Arrivee libelleLocatlite;Arrivee libelleGM;Arrivee ville;prix jour ;prix nuit 
NA.BV;Narbonne;Bâtiment Voyageurs (GARE);Narbonne;TE.DP;Toulouse-Matabiau ;Dépôt;Toulouse;193;231
NA.DP;Narbonne;Narbonne Dépôt;Narbonne;NA.BV;Narbonne;Bâtiment Voyageurs (GARE);Narbonne;6,36;7,63
NA.BV;Narbonne;Bâtiment Voyageurs (GARE);Narbonne;PPN.BV;Perpignan;Bâtiment Voyageurs;Perpignan;80;96
NA.BV;Narbonne;Bâtiment Voyageurs (GARE);Narbonne;CCE.BV;Carcassonne ;Bâtiment Voyageurs;CARCASSONNE;75;90
NA.BV;Narbonne;Bâtiment Voyageurs (GARE);Narbonne;NA.HO;Narbonne ;HOTEL DU MIDI;Narbonne;6,36;7,63
NA.HO;Narbonne ;HOTEL DU MIDI;Narbonne;NA.BV;Narbonne;Bâtiment Voyageurs (GARE);Narbonne;6,36;7,63
NA.BV;Narbonne;Bâtiment Voyageurs (GARE);Narbonne;NI.BV;Nîmes;Bâtiment Voyageurs;Nîmes;182;218
NA.BV;Narbonne ;UP TER;Narbonne;PPN.DP;Perpignan;Dépôt/Base Tvx;Perpignan;81;98
NA.BV;Narbonne;Bâtiment Voyageurs (GARE);Narbonne;NA.DP;Narbonne;Narbonne Dépôt;Narbonne;6,36;7,63
NA.BV;Narbonne ;UP TER;Narbonne;MPL.BV;Montpellier-St-Roch;Bâtiment Voyageurs;Montpellier;122;147
NA.DP;Narbonne;Narbonne Dépôt;Narbonne;BS.BV;Béziers;Bâtiment Voyageurs;Béziers;37;44
NA.BV;Narbonne ;UP TER;Narbonne;BS.BV;Béziers;Bâtiment Voyageurs;Béziers;37;44
NA.DP;Narbonne;Narbonne Dépôt;Narbonne;MPL.BV;Montpellier-St-Roch ;Dépose Taxis Niveau Supérieur;MONTPELLIER;122;147
NA.DP;Narbonne;Narbonne Dépôt;Narbonne;CE.BV;Cerbère;Bâtiment Voyageurs;Cerbère;144;173
NA.BV;Narbonne;Bâtiment Voyageurs (GARE);Narbonne;CCE.00;Carcassonne;A déterminer;Carcassonne;75;90
NA.BV;Narbonne ;UP TER;Narbonne;TE.BV;Toulouse-Matabiau;Bâtiment Voyageurs;Toulouse;193;231
NA.DP;Narbonne;Narbonne Dépôt;Narbonne;TE.DP;Toulouse-Matabiau ;Dépôt;Toulouse;193;231
NA.DP;Narbonne;Narbonne Dépôt;Narbonne;CCE.00;Carcassonne ;non utilisé;CARCASSONNE;75;90
NA.HO;Narbonne ;HOTEL DU MIDI;Narbonne;TE.BV;Toulouse-Matabiau;Bâtiment Voyageurs;Toulouse;193;231
.;;;NARBONNE;NA.BV;Narbonne;Bâtiment Voyageurs (GARE);Narbonne;6,36;7,63
.;;;NARBONNE;TE.BV;Toulouse-Matabiau;Bâtiment Voyageurs;Toulouse;193;231
NA.BV;Narbonne;Bâtiment Voyageurs (GARE);Narbonne;BS.HO;Béziers ;HOTEL IMPERATOR;Béziers;;
NA.BV;Narbonne;Bâtiment Voyageurs (GARE);Narbonne;MAU.BV;Millau;Bâtiment Voyageurs;Millau;;
NA.BV;Narbonne;Bâtiment Voyageurs (GARE);Narbonne;.;;;MONTPELLIER;;
NA.BV;Narbonne;Bâtiment Voyageurs (GARE);Narbonne;MAU.00;Millau;BV;Millau;;
NA.HO;Narbonne ;HOTEL DU MIDI;Narbonne;NAA.BV;Nogent-l'Artaud-Charly;Bâtiment Voyageurs;Nogent-l'Artaud;;
NA.HO;Narbonne ;HOTEL DU MIDI;Narbonne;CCE.BV;Carcassonne ;Bâtiment Voyageurs;CARCASSONNE;75;90
.;;;NARBONNE;TE.00;Toulouse-Matabiau ;Bâtiment Voyageurs;Toulouse;193;231
NA.BV;Narbonne;Bâtiment Voyageurs (GARE);Narbonne;CE.BV;Cerbère;Bâtiment Voyageurs;Cerbère;144;173
TE.BV;Toulouse-Matabiau;Bâtiment Voyageurs;Toulouse;FGV.BV;Figueras;Bâtiment Voyageurs;Figueres;;
NA.DP;Narbonne;Narbonne Dépôt;Narbonne;PPN.BV;Perpignan;Bâtiment Voyageurs;Perpignan;80;96
NA.BV;Narbonne;Bâtiment Voyageurs (GARE);Narbonne;PPN.RV;Perpignan;Remisage Voy;Perpignan;80;96
NA.DP;Narbonne;Narbonne Dépôt;Narbonne;CCE.BV;Carcassonne ;Bâtiment Voyageurs;CARCASSONNE;75;90
BS.BV;Béziers;Bâtiment Voyageurs;Béziers;NA.HO;Narbonne ;HOTEL DU MIDI;Narbonne;6,36;7,63
NA.BV;Narbonne;Bâtiment Voyageurs (GARE);Narbonne;MSC.BV;Marseille-St-Charles;Bâtiment Voyageurs-coté IBIS;Marseille;325;390
NA.BV;Narbonne ;UP TER;Narbonne;MPL.AR;Montpellier-St-Roch;Arènes;Montpellier;122;147
NA.DP;Narbonne;Narbonne Dépôt;Narbonne;PPN.DP;Perpignan;Dépôt/Base Tvx;Perpignan;81;98
NA.BV;Narbonne;Bâtiment Voyageurs (GARE);Narbonne;NA.BV;Narbonne;Bâtiment Voyageurs (GARE);Narbonne;6,36;7,63
NA.BV;Narbonne;Bâtiment Voyageurs (GARE);Narbonne;CCE.HO;Carcassonne ;HOTEL TERMINUS HOTEL DU SOLEIL;Carcassonne;75;90
