Depart;Arrivée;Prix jour;Prix Nuit
Narbonne depot ;Narbonne gare;6,36;7,63
Narbonne depot ;Narbonne Hotel;6,36;7,63
Narbonne depot ;Beziers Gare;37,00;44,00
Narbonne depot ;Carcassonne;75,00;90,00
Narbonne depot ;Cerbere;144,00;173,00
Narbonne depot ;Avignon;230,00;276,00
Narbonne depot ;Marseille;325,00;390,00
Narbonne depot ;Sete;105,00;126,00
Narbonne depot ;Toulouse;193,00;231,00
Narbonne depot ;Villefranche;141,00;169,00
Narbonne depot ;St Jory;211,00;254,00
Narbonne depot ;Perpignan Gare;80,00;96,00
Narbonne depot ;Perpignan Depot;81,00;98,00
Narbonne Gare ;Narbonne Depot;6,36;7,63
Narbonne Gare ;Narbonne Hotel;6,36;7,63
Narbonne Gare ;Beziers Gare;37,00;44,00
Narbonne Gare ;Carcassonne;75,00;90,00
Narbonne Gare ;Cerbere;144,00;173,00
Narbonne Gare ;Perpignan Gare;80,00;96,00
Narbonne Gare ;Perpignan Depot;81,00;98,00
Narbonne Gare ;Toulouse;193,00;231,00
Narbonne Gare ;Castelnaudary;123,00;148,00
Narbonne Gare ;Montpellier ;122,00;147,00
Narbonne Gare ;Nimes ;182,00;218,00
